data,Gauged Daily Flow,
01.01.1973,0.003,
02.01.1973,0.001,
03.01.1973,0.001,
04.01.1973,0,
05.01.1973,0,
06.01.1973,0,
07.01.1973,0,
08.01.1973,0,
09.01.1973,0,
10.01.1973,0,
11.01.1973,0,
12.01.2000,0,
13.01.1973,0,
14.01.1973,0,
15.01.1973,0,
16.01.1973,0,
17.01.1973,0,
18.01.1973,0,
19.01.1973,0,
20.01.1973,0,
21.01.1973,0,
22.01.1973,0,
23.01.1973,0,
24.01.1973,0,
25.01.1973,0,
26.01.1973,0,
27.01.1973,0.344,
28.01.1973,0.109,
29.01.1973,0.145,
30.01.1973,0.012,
31.01.1973,0.02,
01.02.1973,0.011,
02.02.1973,0.007,
03.02.1973,0.001,
04.02.1973,0.002,
05.02.1973,0.004,
06.02.1973,0.079,
07.02.1973,0.017,
08.02.1973,0.001,
09.02.1973,0.033,
10.02.1973,0.084,
11.02.1973,0.032,
12.02.1973,0.098,
13.02.1973,0.155,
14.02.1973,0.041,
15.02.1973,0.029,
16.02.1973,0.028,
17.02.1973,0.032,
18.02.1973,0.025,
19.02.1973,0.215,
20.02.1973,0.247,
21.02.1973,0.135,
22.02.1973,0.115,
23.02.1973,0.111,
24.02.1973,0.062,
25.02.1973,0.03,
26.02.1973,0.035,
27.02.1973,0.031,
28.02.1973,0.028,
01.03.1973,0.098,
02.03.1973,0.388,
03.03.1973,0.412,
04.03.1973,0.752,
05.03.1973,0.514,
06.03.1973,0.356,
07.03.1973,0.245,
08.03.1973,0.157,
09.03.1973,0.101,
10.03.1973,0.049,
11.03.1973,0.022,
12.03.1973,0.015,
13.03.1973,0.008,
14.03.1973,0.003,
15.03.1973,0.001,
16.03.1973,0.011,
17.03.1973,0.001,
18.03.1973,0,
19.03.1973,0,
20.03.1973,0,
21.03.1973,0,
22.03.1973,0,
23.03.1973,0.001,
24.03.1973,0,
25.03.1973,0,
26.03.1973,0,
27.03.1973,0,
28.03.1973,0,
29.03.1973,0,
30.03.1973,0,
31.03.1973,0,
01.04.1973,0,
02.04.1973,0,
03.04.1973,0.002,
04.04.1973,0.205,
05.04.1973,0.45,
06.04.1973,0.125,
07.04.1973,0.099,
08.04.1973,0.005,
09.04.1973,0.006,
10.04.1973,0.024,
11.04.1973,0.017,
12.04.1973,0.002,
13.04.1973,0.019,
14.04.1973,0,
15.04.1973,0.002,
16.04.1973,0,
17.04.1973,0,
18.04.1973,0,
19.04.1973,0,
20.04.1973,0,
21.04.1973,0,
22.04.1973,0,
23.04.1973,0,
24.04.1973,0,
25.04.1973,0,
26.04.1973,0,
27.04.1973,0,
28.04.1973,0,
29.04.1973,0,
30.04.1973,0,
01.05.1973,0,
02.05.1973,0,
03.05.1973,0,
04.05.1973,0,
05.05.1973,0,
06.05.1973,0,
07.05.1973,0,
08.05.1973,0.028,
09.05.1973,0.034,
10.05.1973,0.088,
11.05.1973,0.066,
12.05.1973,0.013,
13.05.1973,0.023,
14.05.1973,0.016,
15.05.1973,0.004,
16.05.1973,0,
17.05.1973,0,
18.05.1973,0,
19.05.1973,0,
20.05.1973,0,
21.05.1973,0,
22.05.1973,0,
23.05.1973,0,
24.05.1973,0,
25.05.1973,0,
26.05.1973,0,
27.05.1973,0,
28.05.1973,0,
29.05.1973,0,
30.05.1973,0,
31.05.1973,0,
01.06.1973,0,
02.06.1973,0,
03.06.1973,0,
04.06.1973,0,
05.06.1973,0,
06.06.1973,0,
07.06.1973,0,
08.06.1973,0,
09.06.1973,0,
10.06.1973,0,
11.06.1973,0,
12.06.1973,0,
13.06.1973,0,
14.06.1973,0,
15.06.1973,0,
16.06.1973,0,
17.06.1973,0,
18.06.1973,0,
19.06.1973,0,
20.06.1973,0,
21.06.1973,0,
22.06.1973,0,
23.06.1973,0,
24.06.1973,0,
25.06.1973,0,
26.06.1973,0,
27.06.1973,0,
28.06.1973,0,
29.06.1973,0,
30.06.1973,0,
01.07.1973,0,
02.07.1973,0,
03.07.1973,0,
04.07.1973,0,
05.07.1973,0,
06.07.1973,0,
07.07.1973,0,
08.07.1973,0,
09.07.1973,0,
10.07.1973,0,
11.07.1973,0,
12.07.1973,0,
13.07.1973,0,
14.07.1973,0,
15.07.1973,0,
16.07.1973,0,
17.07.1973,0,
18.07.1973,0,
19.07.1973,0,
20.07.1973,0,
21.07.1973,0,
22.07.1973,0.028,
23.07.1973,0.032,
24.07.1973,0.04,
25.07.1973,0.029,
26.07.1973,0.014,
27.07.1973,0.014,
28.07.1973,0.002,
29.07.1973,0,
30.07.1973,0,
31.07.1973,0,
01.08.1973,0,
02.08.1973,0,
03.08.1973,0,
04.08.1973,0.229,
05.08.1973,0.423,
06.08.1973,0.423,
07.08.1973,0.207,
08.08.1973,0.104,
09.08.1973,0.027,
10.08.1973,0.009,
11.08.1973,0.001,
12.08.1973,0,
13.08.1973,0,
14.08.1973,0,
15.08.1973,0,
16.08.1973,0,
17.08.1973,0.001,
18.08.1973,0.001,
19.08.1973,0,
20.08.1973,0,
21.08.1973,0,
22.08.1973,0,
23.08.1973,0,
24.08.1973,0,
25.08.1973,0,
26.08.1973,0,
27.08.1973,0,
28.08.1973,0,
29.08.1973,0,
30.08.1973,0,
